from,to,weight,year,neighbor
IL,IT,1,1990,2
FI,FR,12,1990,2
IS,FR,12,1990,2
YU,FR,12,1990,2
NL,FR,12,1990,2
NO,FR,12,1990,2
CH,FR,12,1990,1
DE,FR,10,1990,1
IE,FR,8,1990,2
CY,FR,7,1990,2
IL,FR,6,1990,2
DK,FR,5,1990,2
SE,FR,5,1990,2
ES,FR,5,1990,1
BE,FR,4,1990,1
PT,FR,4,1990,2
TR,FR,4,1990,2
AT,FR,2,1990,2
AT,IE,12,1990,2
SE,IE,12,1990,2
GB,IE,10,1990,1
NL,IE,10,1990,2
ES,IE,10,1990,2
DK,IE,8,1990,2
IS,IE,8,1990,2
NO,IE,8,1990,2
BE,IE,7,1990,2
DE,IE,7,1990,2
FR,IE,7,1990,2
GR,IE,7,1990,2
LU,IE,6,1990,2
PT,IE,6,1990,2
CH,IE,5,1990,2
TR,IE,5,1990,2
FI,IE,4,1990,2
GB,IS,12,1990,2
PT,IS,12,1990,2
BE,IS,10,1990,2
DK,IS,10,1990,2
NO,IS,10,1990,2
AT,IS,10,1990,2
IL,IS,8,1990,2
LU,IS,8,1990,2
SE,IS,8,1990,2
FI,IS,7,1990,2
IE,IS,7,1990,2
CH,IS,7,1990,2
YU,IS,4,1990,2
ES,IS,4,1990,2
GR,IS,3,1990,2
IT,IS,3,1990,2
TR,IS,1,1990,2
DE,ES,12,1990,2
FI,ES,10,1990,2
TR,ES,10,1990,2
GR,ES,8,1990,2
IT,ES,8,1990,2
AT,ES,8,1990,2
CY,ES,8,1990,2
CH,ES,6,1990,2
FR,ES,5,1990,1
NO,ES,5,1990,2
PT,ES,5,1990,1
IS,ES,4,1990,2
YU,ES,3,1990,2
NL,ES,2,1990,2
BE,ES,1,1990,2
GB,ES,1,1990,2
BE,GB,12,1990,2
FR,GB,10,1990,2
IL,GB,10,1990,2
YU,GB,10,1990,2
CH,GB,10,1990,2
ES,GB,7,1990,2
IE,GB,6,1990,1
IT,GB,6,1990,2
GR,GB,5,1990,2
DK,GB,3,1990,2
LU,GB,3,1990,2
CY,GB,3,1990,2
DE,GB,1,1990,2
AT,GB,1,1990,2
IL,YU,12,1990,2
TR,YU,12,1990,2
IS,YU,10,1990,2
IT,YU,10,1990,1
CY,YU,10,1990,2
DK,YU,7,1990,2
GB,YU,5,1990,2
IE,YU,5,1990,2
NO,YU,3,1990,2
ES,YU,3,1990,2
FR,YU,2,1990,2
FI,YU,1,1990,2
SE,YU,1,1990,2
IS,DK,7,1990,2
IL,DK,7,1990,2
IT,DK,7,1990,2
NO,DK,7,1990,1
PT,DK,7,1990,2
AT,DK,6,1990,2
ES,DK,6,1990,2
IE,DK,4,1990,2
